client_id,variation,variation_clean,is_test
7884558,test,test,True
1090478,test,test,True
1304240,test,test,True
2681612,control,control,False
851930,control,control,False
1344982,test,test,True
5171271,test,test,True
6602680,test,test,True
2447231,test,test,True
5631396,test,test,True
6833110,control,control,False
4960901,control,control,False
2189750,test,test,True
9455754,test,test,True
209511,control,control,False
741785,control,control,False
2855888,control,control,False
9083686,control,control,False
2645953,control,control,False
903457,control,control,False
3039540,test,test,True
4730612,test,test,True
2763314,control,control,False
3453411,test,test,True
5212054,control,control,False
1344819,control,control,False
8681644,control,control,False
8125499,test,test,True
7271587,test,test,True
964596,test,test,True
2675819,control,control,False
8852099,control,control,False
7465287,test,test,True
8132181,test,test,True
5759626,test,test,True
2900782,control,control,False
2963107,control,control,False
8862044,control,control,False
7433366,control,control,False
133487,control,control,False
7470213,test,test,True
6809622,test,test,True
1616582,test,test,True
9159465,test,test,True
494597,test,test,True
4503552,control,control,False
3089722,control,control,False
9641810,control,control,False
985046,test,test,True
192160,test,test,True
6233261,test,test,True
6332820,control,control,False
2623927,control,control,False
8839288,test,test,True
495241,test,test,True
5195063,test,test,True
7878552,control,control,False
2312741,test,test,True
7633966,control,control,False
6717348,test,test,True
3502824,control,control,False
614865,test,test,True
7702732,test,test,True
1711408,test,test,True
1399670,control,control,False
157106,test,test,True
1696504,control,control,False
4243376,test,test,True
2606054,test,test,True
4369578,test,test,True
7597104,control,control,False
9221129,test,test,True
8225520,test,test,True
595691,test,test,True
6464033,test,test,True
4211505,control,control,False
9335333,test,test,True
1192407,test,test,True
9824178,test,test,True
1087333,test,test,True
3982600,control,control,False
1290643,test,test,True
728102,test,test,True
763504,test,test,True
629229,test,test,True
2892822,test,test,True
219038,test,test,True
3387907,control,control,False
951327,test,test,True
4857096,control,control,False
7258987,test,test,True
5240348,control,control,False
9219098,control,control,False
6521093,control,control,False
3421393,control,control,False
2025761,control,control,False
3119062,test,test,True
6740819,control,control,False
6053599,control,control,False
7606536,control,control,False
3206726,control,control,False
2128160,control,control,False
2019649,test,test,True
1194245,control,control,False
2681771,test,test,True
8295735,control,control,False
312984,control,control,False
2839247,control,control,False
9661060,test,test,True
5732744,control,control,False
3973582,test,test,True
4620465,test,test,True
6115514,test,test,True
6479455,test,test,True
5363445,control,control,False
6981798,control,control,False
8031718,control,control,False
1262291,control,control,False
8770403,control,control,False
1348442,control,control,False
566137,test,test,True
3861702,control,control,False
4693102,control,control,False
5398009,test,test,True
5015824,test,test,True
9542428,control,control,False
8348798,test,test,True
4608580,control,control,False
2263719,control,control,False
2612667,test,test,True
1213524,test,test,True
1344421,test,test,True
8555070,control,control,False
2787512,control,control,False
9534176,control,control,False
2588637,test,test,True
2615052,test,test,True
965179,test,test,True
273469,test,test,True
6651108,test,test,True
7460349,control,control,False
3197853,test,test,True
844271,test,test,True
8774888,test,test,True
6382757,test,test,True
8501430,control,control,False
6724494,test,test,True
7804581,control,control,False
8095423,control,control,False
8264879,test,test,True
6374406,control,control,False
2717233,test,test,True
9837096,control,control,False
4281763,test,test,True
9112089,control,control,False
7887156,control,control,False
743037,control,control,False
3825646,control,control,False
6948287,test,test,True
3060095,test,test,True
9696533,control,control,False
4701896,test,test,True
4743022,control,control,False
2491891,test,test,True
589393,test,test,True
6033805,control,control,False
7690775,control,control,False
466526,control,control,False
8305562,test,test,True
3319690,test,test,True
5253835,test,test,True
5688104,control,control,False
9589889,test,test,True
9513516,test,test,True
1410997,control,control,False
6682361,test,test,True
390650,test,test,True
9914877,test,test,True
1908164,test,test,True
1428184,test,test,True
6662941,control,control,False
625038,control,control,False
8127978,test,test,True
4497644,test,test,True
2928968,test,test,True
2459641,test,test,True
2502567,control,control,False
6809452,test,test,True
2570257,control,control,False
1900836,test,test,True
9887206,test,test,True
8117339,control,control,False
9292612,control,control,False
4589317,test,test,True
9600289,test,test,True
8644587,test,test,True
3515019,test,test,True
1399011,test,test,True
3859509,test,test,True
9624621,control,control,False
1411452,test,test,True
9451729,test,test,True
7158922,test,test,True
2824464,test,test,True
7355987,test,test,True
4290599,test,test,True
195455,test,test,True
5941398,test,test,True
4855745,test,test,True
5670374,control,control,False
4889645,test,test,True
7393980,test,test,True
5754741,test,test,True
955190,test,test,True
5520127,control,control,False
8360249,control,control,False
4825054,control,control,False
431615,test,test,True
6405406,test,test,True
5619517,control,control,False
4452301,test,test,True
9762839,test,test,True
2044540,control,control,False
5080437,test,test,True
8213521,control,control,False
9937888,test,test,True
9786441,test,test,True
5593356,control,control,False
6217407,test,test,True
4883446,test,test,True
8655162,test,test,True
1622925,test,test,True
5867862,test,test,True
7916237,test,test,True
2080737,test,test,True
3350408,test,test,True
1011972,control,control,False
520210,test,test,True
6559023,control,control,False
1835426,test,test,True
1859491,test,test,True
8158588,test,test,True
1787233,test,test,True
1255014,control,control,False
3314416,control,control,False
8121690,test,test,True
8219792,control,control,False
3252556,test,test,True
4577049,control,control,False
9795698,test,test,True
4202537,control,control,False
8792675,control,control,False
1113976,test,test,True
6605778,test,test,True
3030274,control,control,False
5166590,test,test,True
5395303,control,control,False
122493,control,control,False
8607353,test,test,True
9309880,test,test,True
6219485,test,test,True
6779709,test,test,True
1181698,control,control,False
8627900,test,test,True
9265934,control,control,False
9441056,control,control,False
9017041,control,control,False
2815061,control,control,False
6330488,test,test,True
8550901,control,control,False
6586655,control,control,False
435580,control,control,False
6461191,control,control,False
5551581,test,test,True
9983987,test,test,True
8006148,test,test,True
6670730,control,control,False
6692080,test,test,True
3861021,control,control,False
4332065,test,test,True
5802843,test,test,True
4052287,control,control,False
8375573,test,test,True
8512863,control,control,False
9749944,control,control,False
9615900,test,test,True
7274800,test,test,True
5819620,control,control,False
1790923,control,control,False
6097361,control,control,False
8314579,test,test,True
9286966,test,test,True
8961589,test,test,True
7105238,control,control,False
3071281,test,test,True
981261,control,control,False
987879,test,test,True
9652308,test,test,True
3976933,control,control,False
8544465,test,test,True
8645809,test,test,True
7278903,test,test,True
9455359,test,test,True
8627399,control,control,False
162867,test,test,True
1033888,control,control,False
7512282,control,control,False
3875133,test,test,True
5296568,test,test,True
5569364,control,control,False
483740,test,test,True
6958432,test,test,True
4533589,test,test,True
7977593,control,control,False
8470878,control,control,False
2460950,test,test,True
5028215,test,test,True
7030145,test,test,True
7303592,control,control,False
2465426,control,control,False
9007970,test,test,True
1333964,test,test,True
4129281,test,test,True
4635518,control,control,False
8605014,control,control,False
9382137,control,control,False
5328442,control,control,False
7932118,test,test,True
3028950,test,test,True
6148802,test,test,True
5955812,test,test,True
2923234,test,test,True
2528424,test,test,True
3722490,test,test,True
9296214,test,test,True
2529822,test,test,True
3337387,test,test,True
4870929,test,test,True
2619480,control,control,False
7421893,control,control,False
3725888,test,test,True
9406425,test,test,True
2529383,test,test,True
6724871,test,test,True
9322129,test,test,True
9202764,control,control,False
5209141,test,test,True
2113818,test,test,True
9764115,test,test,True
1296904,control,control,False
4719244,test,test,True
6372831,control,control,False
4313319,control,control,False
542563,control,control,False
9076766,control,control,False
6410961,control,control,False
3050600,control,control,False
8945602,control,control,False
1111442,test,test,True
1061161,control,control,False
6580601,control,control,False
2671815,control,control,False
8794099,control,control,False
56570,test,test,True
1647261,control,control,False
3579822,control,control,False
9461504,test,test,True
4728463,test,test,True
